Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2019-09-12;0.0450;0.0465;0.0442;0.0455;8250000.0;1170000000.0;25927070538;;5803;7;0.62;349431;159000000.0;1791
2019-09-13;0.0455;0.0460;0.0448;0.0458;6140000.0;1170000000.0;25927070538;;3819;7;0.63;349683;60880000.0;1394
2019-09-14;0.0459;0.0473;0.0443;0.0465;11300000.0;1190000000.0;25927070538;;3529;8;0.51;349852;33740000.0;1379
2019-09-15;0.0465;0.0473;0.0461;0.0466;4940000.0;1210000000.0;25927070538;;3762;8;0.51;349938;25800000.0;1531
2019-09-16;0.0467;0.0477;0.0456;0.0471;11180000.0;1210000000.0;25927070538;;3831;8;0.51;350033;29600000.0;1499
2019-09-17;0.0471;0.0508;0.0470;0.0489;25790000.0;1260000000.0;25927070538;;5081;8;0.53;349998;57480000.0;2088
2019-09-18;0.0488;0.0556;0.0488;0.0531;77010000.0;1360000000.0;25927070538;;5729;9;0.56;35007;52570000.0;2163
2019-09-19;0.0531;0.0547;0.0494;0.0525;37600000.0;1340000000.0;25927070538;;5375;9;0.56;349924;49860000.0;2029
2019-09-20;0.0526;0.0526;0.0501;0.0525;19050000.0;1330000000.0;25927070538;;3997;9;0.55;349898;37200000.0;1501
2019-09-21;0.0525;0.0534;0.0511;0.0517;14070000.0;1360000000.0;25927070538;;3391;9;0.53;34987;43820000.0;1281
2019-09-22;0.0517;0.0519;0.0476;0.0489;23040000.0;1270000000.0;25927070538;;3708;9;0.55;349851;263000000.0;1379
2019-09-23;0.0489;0.0494;0.0459;0.0463;24000000.0;1250000000.0;25927070538;;3526;8;0.58;350014;45390000.0;1446
2019-09-24;0.0462;0.0466;0.0357;0.0374;50250000.0;1090000000.0;25927070538;;6586;8;0.85;349923;64470000.0;243
2019-09-25;0.0374;0.0404;0.0360;0.0391;28310000.0;983000000.0;25927070538;;5771;8;0.88;350047;49920000.0;218
