Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Volatility;Active Addresses Count;Transaction Volume;Transactions Count
2020-10-17;0.0257;0.0281;0.0255;0.0258;16670000.000000002;1850000000.0;71659650046.32;35570.0;0.51;34388;47030000.0;2184962
2020-10-18;0.0258;0.0261;0.0257;0.0259;18070000.0;1850000000.0;71659652720.1;34890.0;0.5;330942;41020000.0;4397784
2020-10-19;0.0260;0.0262;0.0257;0.0259;23170000.0;1860000000.0;71659655329.74;34540.0;0.47;366493;48930000.0;2452580
2020-10-20;0.0259;0.0305;0.0253;0.0268;144000000.0;1940000000.0;71659667583.27;37170.0;0.47;370787;96990000.0;2511440
2020-10-21;0.0265;0.0285;0.0262;0.0268;82400000.0;1920000000.0;71659666488.36;37050.0;0.38;457307;74490000.0;2686701
2020-10-22;0.0268;0.0279;0.0268;0.0274;33540000.0;1950000000.0;71659667921.29;37990.0;0.4;375438;66739999.99999999;2336217
2020-10-23;0.0273;0.0274;0.0263;0.0268;61460000.0;1930000000.0;71659646989.85;37070.0;0.4;309375;48960000.0;2022790
2020-10-24;0.0268;0.0274;0.0266;0.0272;23680000.0;1930000000.0;71659652965.5;37540.0;0.35;29249;33970000.0;1915948
2020-10-25;0.0271;0.0273;0.0268;0.0271;37480000.0;1940000000.0;71659655136.5;37370.0;0.33;313406;39960000.0;2024894
2020-10-26;0.0270;0.0275;0.0264;0.0268;34910000.0;1940000000.0;71659669158.61;36800.0;0.33;321512;56110000.0;2062767
2020-10-27;0.0268;0.0273;0.0268;0.0271;25020000.0;1930000000.0;71659657295.75;37350.0;0.32;362457;55850000.0;2140427
2020-10-28;0.0270;0.0274;0.0266;0.0269;47950000.0;1930000000.0;71659667027.11;36180.0;0.32;379941;74670000.0;2085359
2020-10-29;0.0269;0.0274;0.0264;0.0267;30420000.0;1920000000.0;71659663141.11;36300.0;0.32;373996;123000000.0;2219265
2020-10-30;0.0266;0.0268;0.0253;0.0257;32619999.999999996;1850000000.0;71659670545.21;35600.0;0.34;338909;57000000.0;1918873
2020-10-31;0.0257;0.0284;0.0255;0.0272;134000000.0;1890000000.0;71659658819.82;37590.0;0.37;334357;55170000.0;1916457
2020-11-01;0.0269;0.0276;0.0259;0.0269;47940000.0;1880000000.0;71659650207.6;35510.0;0.35;305464;40880000.0;1636774
2020-11-02;0.0267;0.0273;0.0248;0.0250;43470000.0;1820000000.0;71659657538.64;32680.0;0.35;344391;65420000.0;1735011
2020-11-03;0.0249;0.0256;0.0235;0.0254;135000000.0;1730000000.0;71659652979.41;34520.0;0.42;315909;75310000.0;2139377
2020-11-04;0.0251;0.0256;0.0242;0.0250;34440000.0;1750000000.0;71659644075.16;34900.0;0.43;319676;59430000.0;1894687
2020-11-05;0.0246;0.0258;0.0244;0.0256;56920000.0;1780000000.0;71659655393.88;35200.0;0.45;352399;65170000.0;1823462
2020-11-06;0.0257;0.0276;0.0252;0.0268;63150000.0;1850000000.0;71659662213.98;36840.0;0.47;342107;68970000.0;1876225
2020-11-07;0.0267;0.0277;0.0247;0.0266;69770000.0;1890000000.0;71659646167.69;36930.0;0.49;356766;68830000.0;2205019
2020-11-08;0.0264;0.0271;0.0254;0.0258;27680000.0;1830000000.0;71659643686.64;35780.0;0.52;31857;76170000.0;1895384
2020-11-09;0.0256;0.0267;0.0251;0.0256;55500000.0;1830000000.0;71659651607.64;34690.0;0.51;333729;98870000.0;1987074
2020-11-10;0.0255;0.0261;0.0250;0.0254;91510000.0;1810000000.0;71659654506.07;35650.0;0.51;34395;90710000.0;2002889
2020-11-11;0.0253;0.0265;0.0253;0.0260;119000000.0;1830000000.0;71659653674.37;35800.0;0.51;352093;68070000.0;1982147
2020-11-12;0.0259;0.0265;0.0254;0.0262;81150000.0;1830000000.0;71659650877.49;35880.0;0.5;391466;65739999.99999999;1949177
2020-11-13;0.0259;0.0272;0.0254;0.0272;67660000.0;1850000000.0;71659669551.66;37330.0;0.5;368359;98300000.0;1755008
2020-11-14;0.0268;0.0271;0.0254;0.0260;42530000.0;1840000000.0;71659664387.35;36300.0;0.5;348232;90480000.0;1623489
2020-11-15;0.0258;0.0272;0.0256;0.0268;88900000.0;1860000000.0;71659667753.01;36700.0;0.5;365395;63450000.0;1754582
2020-11-16;0.0264;0.0270;0.0255;0.0264;40450000.0;1860000000.0;71659646586.01;36200.0;0.5;370858;68590000.0;1737214
2020-11-17;0.0259;0.0277;0.0259;0.0270;60270000.0;1900000000.0;71659667120.35;37410.0;0.51;36657;71600000.0;1755071
2020-11-18;0.0270;0.0280;0.0255;0.0278;130000000.0;1880000000.0;71659645415.73;38090.0;0.52;375082;83570000.0;1680952
2020-11-19;0.0273;0.0277;0.0253;0.0260;36370000.0;1880000000.0;71659656738.25;35830.0;0.54;373154;99110000.0;1710537
2020-11-20;0.0259;0.0270;0.0258;0.0263;41900000.0;1880000000.0;71659669933.86;36290.0;0.54;402266;88780000.0;1859351
2020-11-21;0.0264;0.0308;0.0262;0.0306;116000000.0;2020000000.0;71659648499.58;42030.0;0.78;377153;113000000.0;1690554
2020-11-22;0.0309;0.0312;0.0273;0.0289;96900000.0;2069999999.9999998;71659653507.92;40080.0;0.81;371795;72360000.0;1694066
2020-11-23;0.0289;0.0323;0.0284;0.0318;124000000.0;2170000000.0;71659656223.86;42860.0;0.87;395216;108000000.0;1816941
2020-11-24;0.0319;0.0397;0.0315;0.0353;159000000.0;2510000000.0;71659656734.58;48220.0;0.97;421859;214000000.0;2095692
2020-11-25;0.0353;0.0375;0.0316;0.0330;250000000.0;2530000000.0;71659659160.57;45460.0;0.97;371054;133000000.0;1818727
2020-11-26;0.0330;0.0339;0.0271;0.0294;238000000.0;2109999999.9999998;71659648887.73;40450.0;1.12;359179;139000000.0;1734836
2020-11-27;0.0295;0.0302;0.0281;0.0294;44420000.0;2080000000.0;71659646205.85;40500.0;1.06;349258;72440000.0;1743835
2020-11-28;0.0294;0.0313;0.0286;0.0305;53030000.0;2150000000.0;71659666657.64;42100.0;1.07;34095;86150000.0;1729857
2020-11-29;0.0305;0.0312;0.0296;0.0307;38160000.0;2180000000.0;71659665002.22;42400.0;1.06;367438;61170000.0;1833905
2020-11-30;0.0308;0.0331;0.0303;0.0323;93070000.0;2270000000.0;71659654202.41;44750.0;1.08;401643;107000000.0;1942324
2020-12-01;0.0324;0.0342;0.0292;0.0303;138000000.0;2300000000.0;71659659775.71;41810.0;1.09;471216;119000000.0;2180086
2020-12-02;0.0303;0.0314;0.0298;0.0313;36880000.0;2200000000.0;71659659476.56;42870.0;1.05;48972;70690000.0;2041532
2020-12-03;0.0312;0.0320;0.0307;0.0317;22730000.0;2250000000.0;71659653611.99;42650.0;1.05;455245;67060000.0;2298490
2020-12-04;0.0317;0.0318;0.0291;0.0295;32659999.999999996;2200000000.0;71659646619.76;39850.0;1.06;465806;70100000.0;2160241
2020-12-05;0.0295;0.0306;0.0292;0.0305;13320000.0;2160000000.0;71659655533.07;41160.0;1.08;383419;49620000.0;1736404
2020-12-06;0.0306;0.0311;0.0300;0.0309;18780000.0;2200000000.0;71659658750.47;41670.0;1.07;374366;59290000.0;1604795
2020-12-07;0.0309;0.0310;0.0299;0.0303;17440000.0;2190000000.0;71659655384.54;41540.0;1.06;393688;67930000.0;1748616
2020-12-08;0.0303;0.0303;0.0275;0.0279;70480000.0;2089999999.9999998;71659659676.42;38450.0;1.05;398451;156000000.0;1782252
2020-12-09;0.0279;0.0289;0.0270;0.0287;71970000.0;2009999999.9999998;71659659695.81;39740.0;1.08;414305;65209999.99999999;1895337
2020-12-10;0.0287;0.0290;0.0278;0.0281;16670000.000000002;2029999999.9999998;71659667930.75;38900.0;1.08;417536;49070000.0;1761914
2020-12-11;0.0282;0.0282;0.0274;0.0278;42160000.0;1990000000.0;71659646357.93;38460.0;1.08;380998;56120000.0;1663548
2020-12-12;0.0278;0.0289;0.0277;0.0285;17530000.0;2029999999.9999998;71659650554.99;38960.0;1.08;337393;43680000.0;1569956
2020-12-13;0.0285;0.0298;0.0284;0.0292;16510000.000000002;2089999999.9999998;71659646183.99;39340.0;1.09;460758;110000000.0;1656410
2020-12-14;0.0292;0.0292;0.0286;0.0291;18030000.0;2069999999.9999998;71659655025.77;39230.0;1.08;615209;47380000.0;2034475
2020-12-15;0.0291;0.0295;0.0287;0.0292;21010000.0;2089999999.9999998;71659647764.29;40000.0;1.08;404637;45850000.0;1671896
2020-12-16;0.0292;0.0315;0.0288;0.0315;36840000.0;2150000000.0;71659663755.21;42980.0;1.08;387839;66930000.00000001;1690041
2020-12-17;0.0315;0.0325;0.0301;0.0307;105000000.0;2250000000.0;71659663628.65;42420.0;1.1;452222;92360000.0;1805484
2020-12-18;0.0307;0.0314;0.0301;0.0311;41890000.0;2210000000.0;71659661867.43;43030.0;1.1;421296;59390000.0;1717330
2020-12-19;0.0311;0.0321;0.0308;0.0312;23120000.0;2250000000.0;71659646857.02;43260.0;1.09;405882;58420000.0;1853378
2020-12-20;0.0312;0.0329;0.0303;0.0313;80820000.0;2270000000.0;71659661339.01;43110.0;1.09;383642;73240000.0;1690476
2020-12-21;0.0312;0.0319;0.0290;0.0293;48870000.0;2180000000.0;71659651822.08;40740.0;0.96;415601;69010000.0;1857960
2020-12-22;0.0293;0.0296;0.0277;0.0290;52450000.0;2069999999.9999998;71659667238.12;39100.0;0.94;421935;71200000.0;1779154
2020-12-23;0.0289;0.0291;0.0235;0.0248;49510000.0;1950000000.0;71659658806.68;34540.0;0.9;413581;79520000.0;1871642
2020-12-24;0.0247;0.0277;0.0241;0.0277;50960000.0;1860000000.0;71659658529.56;38120.0;0.97;383197;76640000.0;1813413
2020-12-25;0.0278;0.0295;0.0270;0.0285;72920000.0;2009999999.9999998;71659659960.97;39230.0;0.99;379402;74710000.0;1740790
2020-12-26;0.0285;0.0286;0.0272;0.0278;35870000.0;2000000000.0;71659669722.84;38310.0;0.93;358493;52310000.0;1689480
2020-12-27;0.0278;0.0310;0.0265;0.0289;61670000.0;2060000000.0;71659668452.28;40050.0;0.96;409699;81520000.0;1734400
2020-12-28;0.0289;0.0304;0.0286;0.0295;99020000.0;2109999999.9999998;71659648612.17;40620.0;0.95;414363;65349999.99999999;1936619
2020-12-29;0.0295;0.0302;0.0265;0.0276;198000000.0;1990000000.0;71659668659.54;37950.0;0.98;510597;84660000.0;2039503
2020-12-30;0.0277;0.0278;0.0264;0.0270;87580000.0;1940000000.0;71659651820.77;37170.0;0.95;47932;74100000.0;2091211
2020-12-31;0.0270;0.0271;0.0259;0.0267;35470000.0;1910000000.0;71659657219.68;37110.0;0.93;496913;51470000.0;1954627
