Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Transaction Volume;Transactions Count
2021-01-06;2.90;3.47;2.85;3.38;631000000.0;3000000000.0;939224471.16;11013;1.25;296000000.0;4092789
2021-01-07;3.38;3.46;3.04;3.20;622000000.0;3090000000.0;939252535.01;10771;1.19;190000000.0;4009154
2021-01-08;3.20;3.26;2.90;3.11;402000000.0;2900000000.0;939280677.91;175;1.22;173000000.0;3540204
2021-01-09;3.11;3.75;3.02;3.63;483000000.0;3250000000.0;939308822.92;11124;1.31;235000000.0;3615454
2021-01-10;3.63;3.93;2.85;3.06;2210000000.0;3200000000.0;939337124.13;12611;1.43;296000000.0;3718313
2021-01-11;3.06;3.07;2.38;2.67;1200000000.0;2520000000.0;939365114.53;1424;1.55;396000000.0;3611796
2021-01-12;2.67;2.77;2.53;2.60;260000000.0;2490000000.0;939393259.57;16774;1.51;101000000.0;3521875
2021-01-13;2.60;2.79;2.52;2.77;218000000.0;2510000000.0;939421405.49;13895;1.52;124000000.0;3283998
2021-01-14;2.77;2.86;2.69;2.81;181000000.0;2600000000.0;939448861.29;9911;1.53;132000000.0;3309532
2021-01-15;2.81;2.93;2.58;2.76;633000000.0;2590000000.0;939477375.86;1742;1.51;121000000.0;3294083
2021-01-16;2.77;2.89;2.71;2.78;240000000.0;2640000000.0;939504964.38;9428;1.5;113000000.0;3203915
2021-01-17;2.78;2.80;2.68;2.76;114000000.0;2580000000.0;939533477.67;8687;1.5;54450000.0;3178549
2021-01-18;2.77;2.83;2.70;2.81;112000000.0;2610000000.0;939561444.01;984;1.5;102000000.0;3059055
2021-01-19;2.82;2.93;2.78;2.79;223000000.0;2690000000.0;939589126.78;973;1.5;114000000.0;3167495
2021-01-20;2.79;2.82;2.66;2.78;162000000.0;2580000000.0;939617183.7;9886;1.48;107000000.0;3228641
2021-01-21;2.78;2.79;2.50;2.54;144000000.0;2480000000.0;939645241.36;9452;1.5;113000000.0;3137189
2021-01-22;2.54;2.68;2.43;2.62;167000000.0;2410000000.0;939673299.73;21035;1.33;108000000.0;3173713
2021-01-23;2.62;2.78;2.58;2.71;156000000.0;2520000000.0;939701355.02;8983;1.23;102000000.0;3170399
2021-01-24;2.70;2.78;2.65;2.72;110000000.0;2560000000.0;939729414.49;8254;1.23;80210000.0;3018645
2021-01-25;2.72;2.77;2.63;2.65;124000000.0;2560000000.0;939757472.29;9125;1.22;87990000.0;3023257
2021-01-26;2.64;2.67;2.56;2.63;168000000.0;2460000000.0;939785931.82;8212;1.22;83740000.0;3036216
2021-01-27;2.63;2.63;2.46;2.51;170000000.0;2390000000.0;939814010.61;8157;1.23;76730000.0;3208227
2021-01-28;2.51;2.80;2.48;2.71;352000000.0;2520000000.0;939841658.21;81;1.25;114000000.0;3531143
2021-01-29;2.71;2.91;2.65;2.73;569000000.0;2600000000.0;939869719.09;1668;1.25;163000000.0;3331752
2021-01-30;2.73;3.10;2.69;2.93;454000000.0;2720000000.0;939897782.86;7899;1.29;155000000.0;3080291
2021-01-31;2.93;3.08;2.80;2.93;667000000.0;2790000000.0;950125447.53;826;1.28;108000000.0;3141999
2021-02-01;2.93;3.28;2.89;3.06;1530000000.0;2940000000.0;950153512.51;11417;1.28;287000000.0;3185143
