Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2019-08-14;84.57;85.96;74.96;75.84;228000000.0;5060000000.0;63064293.12;520000.0;70471;78;1.06;3263886;708000000.0;24167
2019-08-15;75.94;77.65;70.92;76.26;725000000.0;4730000000.0;63071568.13;560000.0;64998;78;1.06;3265914;155000000.0;2382
2019-08-16;76.22;76.36;72.25;74.76;510000000.0;4700000000.0;63077643.14;450000.0;7538;79;0.98;3259070;142000000.0;23571
2019-08-17;74.78;75.43;71.54;72.70;84360000.0;4630000000.0;63084018.16;460000.0;65057;78;0.85;3257269;71130000.0;21559
2019-08-18;72.65;78.11;71.40;76.38;330000000.0;4760000000.0;63090018.17;460000.0;62992;79;0.75;3255000;71180000.0;198
2019-08-19;76.32;79.04;75.58;77.12;108000000.0;4870000000.0;63097430.68;570000.0;61715;79;0.75;3253043;73150000.0;20681
2019-08-20;77.24;77.38;73.32;75.15;87600000.0;4760000000.0;63103693.19;470000.0;88964;79;0.74;3272155;104000000.0;2251
2019-08-21;75.18;75.38;69.95;73.16;227000000.0;4590000000.0;63111180.71;550000.0;67424;78;0.75;3270932;95300000.0;23242
2019-08-22;73.19;74.62;70.97;73.45;179000000.0;4610000000.0;63117880.72;490000.0;68176;78;0.74;3269816;98130000.0;23252
2019-08-23;73.39;76.05;72.43;75.52;144000000.0;4690000000.0;63124905.74;530000.0;60324;78;0.73;3271949;89280000.0;22407
2019-08-24;75.53;75.70;71.56;73.40;72170000.0;4620000000.0;63132530.75;560000.0;58117;78;0.71;3274516;67670000.0;20468
2019-08-25;73.42;75.02;70.52;72.10;85180000.0;4590000000.0;63139643.26;510000.0;52178;79;0.71;3275136;82540000.0;16923
2019-08-26;72.12;75.59;72.08;73.46;589000000.0;4680000000.0;63146605.76;510000.0;61404;80;0.71;3275575;114000000.0;20628
2019-08-27;73.48;73.60;71.95;72.81;55500000.0;4600000000.0;63153705.77;520000.0;10054;80;0.69;3281351;129000000.0;2151
2019-08-28;72.76;73.08;64.57;66.72;279000000.0;4350000000.0;63160955.79;490000.0;60934;77;0.73;3284916;82580000.0;22598
2019-08-29;66.69;66.71;62.10;63.49;197000000.0;4090000000.0;63168118.29;460000.0;61061;71;0.74;3285635;103000000.0;21433
2019-08-30;63.60;65.60;62.15;64.21;159000000.0;4019999999.9999995;63174893.31;440000.0;58624;71;0.74;3288782;78490000.0;21805
2019-08-31;64.21;65.38;62.34;64.32;153000000.0;4030000000.0000005;63182143.33;470000.0;59372;70;0.66;3290304;55220000.0;21183
2019-09-01;64.29;67.33;63.96;66.09;61890000.0;4130000000.0;63188855.84;450000.0;51366;72;0.68;3293816;61310000.0;18963
2019-09-02;66.09;67.99;64.94;67.15;74130000.0;4190000000.0000005;63196305.86;500000.0;59021;77;0.67;3298782;71330000.0;22524
2019-09-03;67.21;71.05;66.62;69.12;238000000.0;4330000000.0;63203143.37;470000.0;103895;78;0.69;3312167;235000000.0;27666
2019-09-04;69.17;69.37;66.54;67.13;80110000.0;4280000000.0000005;63210130.88;470000.0;62889;77;0.69;3315079;111000000.0;24306
2019-09-05;67.12;67.45;64.22;65.29;128000000.0;4150000000.0000005;63216943.39;450000.0;64923;73;0.67;3319804;85460000.0;24496
2019-09-06;65.29;68.19;63.90;64.96;191000000.0;4190000000.0000005;63224668.41;500000.0;70676;72;0.67;3323725;101000000.0;28494
2019-09-07;64.95;70.67;64.62;68.95;185000000.0;4310000000.0;63231743.42;490000.0;67018;77;0.71;3329203;84950000.0;27073
2019-09-08;68.96;71.68;68.22;70.51;115000000.0;4430000000.0;63238843.44;500000.0;77965;76;0.72;3337165;183000000.0;3103
2019-09-09;70.48;71.68;67.93;69.95;208000000.0;4400000000.0;63246380.95;530000.0;73426;77;0.69;3341577;203000000.0;27982
2019-09-10;69.93;73.20;69.80;70.82;322000000.0;4510000000.0;63253868.46;530000.0;109399;76;0.69;3355418;118000000.0;28194
2019-09-11;70.80;71.66;68.26;69.84;80020000.0;4430000000.0;63260443.47;460000.0;78042;75;0.66;3349890;96110000.0;25754
2019-09-12;69.87;70.05;68.21;69.26;49510000.0;4370000000.0;63268343.48;550000.0;68583;75;0.64;3356719;83780000.0;26375
2019-09-13;69.29;69.68;67.41;69.10;56340000.0;4340000000.0;63275306;480000.0;7479;75;0.64;3366171;72040000.0;30584
2019-09-14;69.15;71.59;68.28;70.69;137000000.0;4420000000.0;63282781.03;530000.0;71669;76;0.55;3373895;67030000.0;28033
2019-09-15;70.66;71.48;69.68;70.12;43450000.0;4460000000.0;63289668.57;480000.0;83261;76;0.55;3381065;45650000.0;31064
2019-09-16;70.12;73.82;69.44;72.80;218000000.0;4520000000.0;63296593.73;500000.0;97348;77;0.56;3383730;104000000.0;35386
2019-09-17;72.78;77.64;72.24;74.11;219000000.0;4700000000.0;63304168.8;560000.0;14201;78;0.56;3397134;146000000.0;39806
2019-09-18;74.08;80.32;74.04;77.80;876000000.0;4890000000.0;63311243.93;550000.0;110156;79;0.56;3404403;191000000.0;3964
2019-09-19;77.80;77.87;72.64;76.82;333000000.0;4770000000.0;63318669.01;570000.0;128829;78;0.56;3410688;250000000.0;48564
2019-09-20;76.88;77.24;72.89;75.08;116000000.0;4760000000.0;63326044.11;550000.0;9904;77;0.56;3414772;97580000.0;34807
2019-09-21;75.07;75.56;72.08;73.20;75150000.0;4670000000.0;63333231.66;530000.0;73282;77;0.56;3417117;71170000.0;2537
2019-09-22;73.19;73.21;71.00;72.23;74080000.0;4570000000.0;63340644.22;540000.0;69629;77;0.56;3419655;105000000.0;24312
2019-09-23;72.27;74.22;61.74;66.47;465000000.0;4380000000.0;63347769.24;470000.0;101056;73;0.61;3421967;279000000.0;37478
2019-09-24;66.37;67.32;54.74;54.87;783000000.0;3880000000.0;63354569.26;380000.0;115973;66;0.84;3431806;278000000.0;32649
2019-09-25;54.91;58.43;53.02;57.47;475000000.0;3540000000.0;63361581.78;400000.0;74697;67;0.86;3437200;353000000.0;28988
2019-09-26;57.51;57.58;50.31;55.27;161000000.0;3460000000.0;63368556.79;390000.0;69164;66;0.86;3439142;191000000.0;25915
2019-09-27;55.21;56.65;52.82;55.98;98450000.0;3470000000.0;63375531.82;390000.0;64652;66;0.86;3442251;89040000.0;24422
