Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2019-10-09;231.72;241.8;228.28;238.82;50470000.0;4260000000.0;18053066.39;430000.0;34646;29;0.96;17410761;585000000.0;45018;235.26999999999998
2019-10-10;238.91;240.34;229.35;230.04;41640000.0;4210000000.0;18054891.46;420000.0;31332;29;0.97;17410513;574000000.0;3927;234.475
2019-10-11;230.19;235.52;218.88;220.71;52880000.0;4090000000.0;18056641.51;390000.0;34393;27;0.98;17410878;504000000.0;34439;225.45
2019-10-12;220.74;228.29;220.7;224.35;25970000.0;4050000000.0;18058504.06;420000.0;29065;28;0.98;17413390;447000000.0;35753;222.54500000000002
2019-10-13;224.34;228.89;220.9;223.1;59900000.0;4070000000.0000005;18060129.18;360000.0;31691;28;0.98;17414876;575000000.0;41317;223.72
2019-10-14;223.05;230.68;222.68;227.96;46380000.0;4090000000.0;18061916.76;410000.0;45702;29;0.98;17421232;508000000.0;47561;225.505
2019-10-15;228.16;228.99;217.23;222.17;72210000.0;4040000000.0;18063766.84;410000.0;58724;27;0.98;17427728;662000000.0;5021;225.165
2019-10-16;222.01;225.66;212.52;216.85;4420000.0;3930000000.0;18065566.95;390000.0;32205;27;0.98;17427616;373000000.0;43321;219.43
2019-10-17;216.84;221.11;213.89;220.09;23240000.0;3930000000.0;18067329.55;390000.0;32148;27;0.98;17425877;370000000.0;46517;218.465
2019-10-18;220.03;220.51;208.41;212.04;198000000.0;3860000000.0;18068992.15;350000.0;30793;26;0.97;17426261;476000000.0;44442;216.035
2019-10-19;211.97;216.2;210.67;213.46;23600000.0;3860000000.0;18070779.74;380000.0;29523;26;0.97;17428221;392000000.0;4172;212.715
2019-10-20;213.22;227.09;211.03;225.04;165000000.0;3960000000.0;18072629.83;420000.0;27983;28;0.99;17430191;359000000.0;40469;219.13
2019-10-21;224.99;236.48;223.49;232.59;137000000.0;4150000000.0000005;18074554.91;450000.0;34425;29;1;17429895;389000000.0;40294;228.79000000000002
2019-10-22;232.55;234.34;225.75;227.13;35800000.0;4170000000.0;18076392.49;420000.0;58435;28;1;17438225;245000000.0;39043;229.84
2019-10-23;227.02;227.94;195.54;210.17;272000000.0;3910000000.0;18078280.08;400000.0;32842;25;1.03;17435655;526000000.0;46663;218.595
2019-10-24;210.36;217.95;206.27;212.33;41670000.0;3830000000.0;18080092.66;390000.0;32504;26;1.02;17431574;241000000.0;38989;211.34500000000003
2019-10-25;212.4;273.74;212.08;259.24;463000000.0;4430000000.0;18081992.78;490000.0;37854;34;0.96;17429804;619000000.0;52751;235.82
2019-10-26;259.53;284.68;242.15;253.13;510000000.0;4720000000.0;18083730.43;440000.0;33417;33;0.96;17431132;624000000.0;58624;256.33
2019-10-27;253.21;270.02;246.03;261.29;241000000.0;4670000000.0;18085468.05;450000.0;30836;34;0.94;17432807;822000000.0;53512;257.25
2019-10-28;261.34;276.18;258.5;265.14;97690000.0;4830000000.0;18087330.68;500000.0;32301;37;0.93;17430311;1160000000.0;52501;263.24
2019-10-29;264.18;299.04;263.88;289.91;357000000.0;5170000000.0;18089130.79;520000.0;58095;46;0.97;17438505;950000000.0;50107;277.045
2019-10-30;289.84;306.97;283.22;288.82;151000000.0;5300000000.0;18090968.4;530000.0;35153;45;0.96;17437417;617000000.0;48661;289.33
2019-10-31;288.74;293.52;269.28;283.07;113000000.0;5120000000.0;18092631.01;470000.0;32887;45;0.96;17436783;457000000.0;46613;285.905
2019-11-01;282.79;283.71;269.74;278.63;270000000.0;5020000000.0;18094406.1;490000.0;30971;42;0.96;17435304;496000000.0;41263;280.71000000000004
2019-11-02;278.68;296.61;278.07;290.02;106000000.0;5180000000.0;18096143.67;500000.0;38871;44;0.96;17428008;370000000.0;3727;284.35
2019-11-03;290.13;304.97;282.4;291.43;150000000.0;5280000000.0;18097968.74;530000.0;30506;45;0.96;17428734;492000000.0;40658;290.78
2019-11-04;291.47;295.09;284.86;290.96;407000000.0;5240000000.0;18099768.83;520000.0;51929;45;0.96;17437713;573000000.0;40934;291.21500000000003
2019-11-05;290.99;298.9;286.55;293.16;277000000.0;5290000000.0;18101618.91;540000.0;32649;46;0.96;17438444;452000000.0;44696;292.07500000000005
2019-11-06;293.08;308.42;291.25;305.46;322000000.0;5450000000.0;18103456.49;560000.0;34286;47;0.96;17438951;667000000.0;41632;299.27
2019-11-07;305.58;306.38;285.35;291.64;218000000.0;5320000000.0;18105081.59;480000.0;30953;45;0.96;17439691;537000000.0;41684;298.61
2019-11-08;291.65;293.89;269.14;277.0;220000000.0;5120000000.0;18106894.18;500000.0;31549;41;0.98;17440350;403000000.0;4366;284.325
2019-11-09;276.93;283.68;275.65;282.51;111000000.0;5080000000.0;18108756.77;530000.0;33751;44;0.98;17441242;265000000.0;37697;279.72
2019-11-10;282.45;300.53;279.28;292.95;72980000.0;5230000000.0;18110606.85;540000.0;34583;47;0.98;17440031;296000000.0;39283;287.7
2019-11-11;292.8;296.8;281.13;286.27;178000000.0;5230000000.0;18112444.43;530000.0;53664;46;0.97;17451648;455000000.0;40117;289.53499999999997
2019-11-12;286.09;291.64;280.69;288.84;62340000.0;5190000000.0;18114194.49;500000.0;72339;45;0.97;17402450;430000000.0;33259;287.465
2019-11-13;289.18;289.51;281.31;285.06;49440000.0;5170000000.0;18116069.55;530000.0;32318;45;0.97;17401273;323000000.0;31516;287.12
2019-11-14;284.98;285.89;271.76;277.32;82320000.0;5030000000.0;18117882.13;500000.0;31911;41;0.97;17400063;511000000.0;33523;281.15
2019-11-15;277.29;279.04;258.17;263.0;89960000.0;4890000000.0;18119694.72;480000.0;24657;34;0.99;17400893;191000000.0;37105;270.145
2019-11-16;262.94;267.74;261.34;264.98;71030000.0;4800000000.0;18121557.26;490000.0;20751;34;0.98;17402489;275000000.0;26442;263.96000000000004
2019-11-17;265.0;270.07;259.82;265.87;70100000.0;4810000000.0;18123419.82;500000.0;18469;35;0.98;17403559;238000000.0;26873;265.435
2019-11-18;265.76;265.83;237.65;246.03;80720000.0;4620000000.0;18125032.39;400000.0;21835;31;1.01;17402870;503000000.0;33221;255.89499999999998
2019-11-19;245.86;247.83;232.58;241.73;92570000.0;4370000000.0;18126582.47;370000.0;50104;30;1.01;17411921;545000000.0;35393;243.79500000000002
2019-11-20;241.9;247.77;237.76;242.79;57990000.0;4380000000.0;18128420.03;440000.0;24656;30;1;17411861;298000000.0;32273;242.345
2019-11-21;242.85;246.25;218.55;226.08;105000000.0;4200000000.0;18130270.12;420000.0;2779;29;1.02;17408009;295000000.0;41027;234.465
2019-11-22;226.13;229.32;193.8;207.69;170000000.0;3820000000.0;18132032.76;370000.0;27497;27;1.06;17407992;513000000.0;47385;216.91
2019-11-23;208.01;218.09;201.04;215.27;89660000.0;3780000000.0;18133857.85;390000.0;22249;28;1.03;17410150;539000000.0;3864;211.64
2019-11-24;215.47;216.72;200.19;202.74;76630000.0;3790000000.0;18135557.96;350000.0;21372;26;1.05;17411703;281000000.0;40136;209.10500000000002
2019-11-25;202.43;216.57;192.45;207.59;110000000.0;3720000000.0;18137433.06;390000.0;26285;27;0.73;17411131;367000000.0;49;205.01
2019-11-26;207.5;214.93;207.2;211.07;48930000.0;3820000000.0;18139283.17;390000.0;50514;27;0.73;17421632;203000000.0;4211;209.285
2019-11-27;210.97;225.44;203.55;219.64;69260000.0;3870000000.0;18141070.79;390000.0;27992;27;0.74;17419855;479000000.0;47838;215.305
2019-11-28;219.58;222.54;215.44;217.85;26040000.0;3980000000.0;18142920.87;400000.0;30591;27;0.74;17416973;306000000.0;41105;218.715
2019-11-29;217.65;226.46;217.31;224.2;38760000.0;4050000000.0;18144758.47;410000.0;27299;28;0.66;17415336;355000000.0;43041;220.925
2019-11-30;224.11;224.96;214.71;217.71;31870000.0;4000000000.0;18146571.05;390000.0;22506;27;0.67;17415795;316000000.0;36381;220.91000000000003
