Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume
2022-05-30;92.25;99.63;89.79;98.75;41710000.0;1150000000.0;12498987.67;350000.0;65301;15;1.48;811213;55780000.0
2022-05-31;98.66;100.05;90.99;93.24;35550000.0;1230000000.0;12502443.86;340000.0;27083;14;1.45;810671;32380000.000000004
2022-06-01;93.27;96.31;87.55;89.57;37440000.0;1170000000.0;12505930.22;330000.0;23088;14;1.42;80925;31140000.0
2022-06-02;89.51;92.02;87.96;91.23;16030000.000000002;1120000000.0;12509259.6;320000.0;19724;14;1.42;811302;3980000.0
2022-06-03;91.25;91.60;85.57;89.53;13390000.0;1140000000.0;12510062.02;320000.0;18944;14;1.42;811906;3700000.0
2022-06-04;89.42;90.84;87.38;89.63;10470000.0;1120000000.0;12513640.64;320000.0;18207;14;1.35;811733;2900000.0
2022-06-05;89.69;90.93;88.50;89.34;6080000.0;1120000000.0;12517210.29;320000.0;29398;14;1.34;81496;5530000.0
2022-06-06;89.25;95.82;89.07;93.93;32479999.999999996;1120000000.0;12518832.24;340000.0;53803;14;1.35;821827;4410000.0
2022-06-07;93.79;95.22;88.09;92.92;23150000.0;1170000000.0;12522346.28;340000.0;21785;14;1.32;820063;7850000.0
2022-06-08;92.96;94.38;89.36;92.99;19380000.0;1160000000.0;12525495.46;330000.0;30446;14;1.32;81064;12910000.0
2022-06-09;93.05;95.88;90.63;91.18;28780000.0;1170000000.0;12529088.28;330000.0;19989;14;1.15;811633;4530000.0
2022-06-10;91.48;93.15;86.02;86.59;14840000.0;1150000000.0;12531098.72;310000.0;18886;14;1.16;812341;7350000.0
2022-06-11;86.59;88.27;77.19;79.52;87930000.0;1090000000.0;12532528.99;280000.0;26228;14;1.14;81045;19450000.0
2022-06-12;79.61;84.56;73.84;79.09;82430000.0;998000000.0;12536111.12;290000.0;22831;14;1.14;808577;12450000.0
2022-06-13;79.11;80.58;62.84;65.56;44230000.0;992000000.0;12539643.46;230000.0;5761;10;1.21;801723;31310000.0
2022-06-14;65.51;67.53;59.91;64.03;32090000.000000004;822000000.0;12543277.83;230000.0;23399;10;1.14;799;59800000.0
2022-06-15;63.91;68.84;57.27;68.52;97990000.0;802000000.0;12546824.22;240000.0;20219;10;1.11;795927;41250000.0
2022-06-16;68.47;70.04;57.81;58.94;36840000.0;859000000.0;12550417.55;210000.0;1328;8;1.16;796705;8800000.0
