Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2020-11-14;476.81;477.89;452.07;461.07;519000000.0;52040000000.0;112341461.12;6290000.0;572107;515;0.62;49869202;1920000000.0;1067063;468.94
2020-11-15;461.15;463.05;440.3;447.58;680000000.0;50920000000.0;112356058.31;6110000.0;504327;503;0.63;49907778;2310000000.0;1037428;454.365
2020-11-16;448.26;466.25;446.07;460.72;569000000.0;51380000000.0;112369533.99;6230000.0;497314;521;0.62;49948713;2430000000.0;1105512;454.49
2020-11-17;460.34;485.03;460.12;482.73;994000000.0;53250000000.0;112383109.68;6550000.0;517582;552;0.64;50018047;5420000000.0;1173012;471.53499999999997
2020-11-18;482.52;495.44;457.94;478.73;2160000000.0;53820000000.0;112396518.62;6430000.0;500099;552;0.64;50084146;3710000000.0;1120798;480.625
2020-11-19;478.76;481.23;465.21;471.85;605000000.0;53330000000.0;112410266.74;6480000.0;498682;538;0.64;50157322;2550000000.0;1122748;475.305
2020-11-20;471.65;514.6;471.04;510.39;1870000000.0;56120000000.0;112423714.31;6850000.0;529365;643;0.68;50225377;3730000000.0;1162871;491.02
2020-11-21;510.4;552.58;502.99;551.8;884000000.0;59130000000.0;112437380.56;7480000.0;577881;674;0.7;50280131;4660000000.0;1172183;531.0999999999999
2020-11-22;552.57;581.59;511.48;560.37;2420000000.0;61150000000.0;112450915.06;7650000.0;557067;687;0.68;50319121;4490000000.0;1148006;556.47
2020-11-23;560.76;611.36;550.4;608.92;2190000000.0;65819999999.99999;112464387.12;8180000.0;557131;729;0.72;50371321;5520000000.0;1213632;584.8399999999999
2020-11-24;609.04;623.08;587.95;605.14;3210000000.0;68420000000.0;112478669.87;8270000.0;544793;737;0.73;50436617;5040000000.0;1240072;607.0899999999999
2020-11-25;605.29;606.24;554.15;569.07;2300000000.0;66319999999.99999;112492175.68;7670000.0;545213;695;0.73;50490550;3160000000.0;1205924;587.1800000000001
2020-11-26;568.92;576.51;477.96;520.3;6070000000.0;58480000000.0;112505726.87;7020000.0;551486;663;0.9;50532248;6250000000.0;1173330;544.6099999999999
2020-11-27;520.65;531.18;494.3;518.86;1100000000.0;57790000000.0;112519076.06;6900000.0;55905;663;0.82;50542419;3500000000.0;1102889;519.755
2020-11-28;518.83;548.6;506.9;538.1;729000000.0;59510000000.0;112532786.93;7420000.0;689375;683;0.82;50559928;1950000000.0;992335;528.465
2020-11-29;537.73;577.13;530.79;576.46;1110000000.0;62200000000.0;112546334.74;7790000.0;739327;700;0.81;50534483;2120000000.0;99393;557.095
2020-11-30;576.9;616.72;570.9;616.68;2640000000.0;67160000000.0;112560013.93;8390000.0;527321;740;0.85;50572646;3580000000.0;1183915;596.79
2020-12-01;616.87;636.21;562.19;586.1;5880000000.0;67640000000.0;112573581.49;7980000.0;559564;712;0.87;50636998;4400000000.0;1172361;601.485
2020-12-02;585.89;605.09;575.49;597.85;855000000.0;66560000000.0;112586971.68;8020000.0;464131;717;0.87;50676123;2910000000.0;1071389;591.87
2020-12-03;597.5;624.01;586.34;616.68;889000000.0;68480000000.00001;112600586.99;8410000.0;498903;735;0.87;50695774;3720000000.0;1114178;607.0899999999999
2020-12-04;616.33;620.44;566.74;567.73;1110000000.0;66860000000.0;112614024.49;7690000.0;491692;697;0.89;50731665;4410000000.0;1134337;592.03
2020-12-05;567.73;597.57;561.22;597.19;605000000.0;65800000000.0;112627542.49;8039999.999999999;562799;715;0.93;50768628;5500000000.0;1055722;582.46
2020-12-06;597.26;607.66;583.58;602.36;550000000.0;67280000000.0;112641168.8;8210000.000000001;505086;722;0.89;50784936;2020000000.0;1034515;599.81
2020-12-07;602.46;603.43;584.61;591.58;467000000.0;66879999999.99999;112654584.49;7940000.0;504152;718;0.87;50811506;3370000000.0;1102501;597.02
