Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2020-11-06;11.0;12.3;10.95;12.19;282000000.0;4530000000.0;390509556.51;677;61;0.93;264994;155000000.0;9891;11.594999999999999
2020-11-07;12.19;13.62;11.49;11.77;527000000.0;4960000000.0;391509556.59;7614;60;0.94;265843;278000000.0;13267;11.98
2020-11-08;11.79;13.11;11.51;12.72;204000000.0;4860000000.0;391509556.43;5368;60;0.95;266469;83590000.0;81;12.254999999999999
2020-11-09;12.71;13.01;12.05;12.51;316000000.0;4890000000.0;391509556.38;539;60;0.91;267382;140000000.0;8169;12.61
2020-11-10;12.52;13.29;12.31;13.01;525000000.0;5040000000.0;391509556.42;5859;61;0.92;268324;188000000.0;8877;12.765
2020-11-11;13.0;13.42;12.75;12.76;483000000.0;5140000000.0;391509556.45;6061;61;0.92;269112;131000000.0;8439;12.879999999999999
2020-11-12;12.76;13.09;12.27;12.42;311000000.0;4940000000.0;391509556.57;6878;62;0.91;268033;164000000.0;9575;12.59
2020-11-13;12.41;13.01;12.31;12.86;249000000.0;4990000000.0;391509556.34;5796;62;0.91;268962;90870000.0;8218;12.635
2020-11-14;12.87;12.93;12.32;12.56;104000000.0;4930000000.0;391509556.45;534;62;0.91;269858;90510000.0;6898;12.715
2020-11-15;12.56;12.64;11.81;12.1;171000000.0;4820000000.0;392509556.35;5622;61;0.92;270478;52070000.0;6615;12.33
2020-11-16;12.11;12.81;12.0;12.63;125000000.0;4890000000.0;392509556.52;5322;62;0.93;271405;137000000.0;709;12.370000000000001
2020-11-17;12.62;13.42;12.54;13.4;238000000.0;5060000000.0;392509556.46;6828;64;0.95;27255;160000000.0;9673;13.01
2020-11-18;13.4;14.27;12.63;13.56;652000000.0;5330000000.0;392509556.43;7275;66;0.94;273742;259000000.0;11149;13.48
2020-11-19;13.57;14.01;13.02;13.63;167000000.0;5320000000.0;392509556.35;6714;66;0.94;274507;217000000.0;9358;13.600000000000001
2020-11-20;13.62;14.46;13.47;14.1;321000000.0;5520000000.0;392509556.3;7611;67;0.87;275883;160000000.0;9936;13.86
2020-11-21;14.09;15.5;13.71;15.46;324000000.0;5770000000.0;393509556.46;8737;69;0.87;277185;174000000.0;12376;14.775
2020-11-22;15.44;15.7;13.84;14.52;505000000.0;5790000000.0;393509556.45;7783;67;0.84;278126;193000000.0;1164;14.98
2020-11-23;14.53;15.41;14.26;15.28;407000000.0;5870000000.0;393509556.56;826;68;0.86;279822;236000000.0;11344;14.905
2020-11-24;15.26;16.39;14.97;15.67;624000000.0;6160000000.0;393509556.46;10561;68;0.85;281878;241000000.0;15112;15.465
2020-11-25;15.67;15.87;13.81;14.22;551000000.0;5930000000.0;393509556.36;836;66;0.9;283343;141000000.0;11436;14.945
2020-11-26;14.21;14.47;11.31;12.61;1220000000.0;4930000000.0;393509556.32;11637;60;0.98;283016;349000000.0;17857;13.41
2020-11-27;12.62;12.96;11.98;12.5;324000000.0;4880000000.0;393509556.42;12721;60;0.98;277966;246000000.0;15286;12.559999999999999
2020-11-28;12.5;13.44;12.36;13.1;165000000.0;5120000000.0;394509556.31;6971;63;0.98;278932;128000000.0;9523;12.8
2020-11-29;13.09;13.47;12.86;13.39;198000000.0;5190000000.0;394509556.38;6776;64;0.97;279998;76290000.0;8075;13.24
2020-11-30;13.41;14.43;13.41;14.26;408000000.0;5530000000.0;394509556.36;7375;67;0.99;281175;177000000.0;10094;13.835
2020-12-01;14.26;14.86;13.07;13.36;724000000.0;5530000000.0;394509556.3;7318;64;1.02;282404;126000000.0;10057;13.809999999999999
2020-12-02;13.36;14.15;13.07;13.99;146000000.0;5370000000.0;394509556.45;6586;66;1.03;283482;118000000.0;869;13.675
2020-12-03;13.99;14.23;13.66;14.0;105000000.0;5500000000.0;394509556.54;6959;65;0.99;284357;130000000.0;8698;13.995000000000001
2020-12-04;13.98;14.05;12.54;12.68;107000000.0;5260000000.0;394509556.41;6961;61;1.04;28541;154000000.0;9182;13.33
2020-12-05;12.68;13.35;12.53;13.18;80800000.0;5180000000.0;395509556.3;641;62;1.05;28616;78120000.0;8622;12.93
2020-12-06;13.18;13.54;12.78;13.51;77880000.0;5220000000.0;395509556.36;5766;64;1.04;286744;82920000.0;7655;13.344999999999999
2020-12-07;13.52;13.56;12.87;13.07;64720000.0;5210000000.0;395509556.51;6063;62;0.99;287122;89110000.0;768;13.295
2020-12-08;13.08;13.19;11.99;12.14;501000000.0;4990000000.0;395509556.41;6246;61;1.02;287871;105000000.0;8397;12.61
2020-12-09;12.13;12.82;11.58;12.63;514000000.0;4790000000.0;395509556.48;6728;62;0.99;288714;144000000.0;9273;12.38
2020-12-10;12.62;12.68;11.85;11.9;76850000.0;4830000000.0;395509556.33;5914;61;1.01;289204;69860000.0;7779;12.26
2020-12-11;11.94;11.99;11.43;11.65;335000000.0;4620000000.0;395509556.52;6758;61;1;289858;118000000.0;8485;11.795
2020-12-12;11.64;12.36;11.61;12.22;76010000.0;4790000000.0;396509556.28;5753;61;1.01;290658;112000000.0;765;11.93
2020-12-13;12.23;13.27;12.04;12.94;104000000.0;5020000000.0;396509556.55;6409;63;1.03;291514;93520000.0;7853;12.585
2020-12-14;12.93;12.98;12.33;12.85;150000000.0;5040000000.0;396509556.49;5168;63;1.02;292446;80630000.0;6571;12.89
2020-12-15;12.85;13.01;12.46;12.68;115000000.0;5040000000.0;396509556.35;5464;64;1.02;292948;87820000.0;6921;12.765
2020-12-16;12.68;13.51;12.32;13.5;270000000.0;5140000000.0;396509556.51;6557;66;1.03;294033;184000000.0;8692;13.09
2020-12-17;13.5;14.52;13.09;13.46;519000000.0;5470000000.0;396509556.4;7957;65;1.02;295276;141000000.0;10668;13.48
2020-12-18;13.46;14.02;13.19;13.52;225000000.0;5380000000.0;396509556.36;6804;65;1;296352;116000000.0;8401;13.49
2020-12-19;13.51;13.97;13.32;13.49;125000000.0;5460000000.0;397509556.54;7035;65;1;297161;70750000.0;876;13.5
2020-12-20;13.49;13.81;12.68;13.07;245000000.0;5320000000.0;397509556.56;6371;64;1.01;297918;112000000.0;8447;13.280000000000001
